age,pages,first_item_prize,gender,ReBuy,News_click,country,revenue
7834,37.0,7.0,44.0,Fem,False,8.0,Uzbekistan,101.0
1298,43.0,4.0,28.0,Fem,False,6.0,Nigeria,57.0
9193,41.0,7.0,44.0,Masc,True,5.0,Yemen,77.0
4617,52.0,8.0,15.5,Masc,False,4.0,South Africa,67.0
3128,26.0,10.0,15.5,Fem,False,6.0,Germany,187.0
9795,43.0,7.0,42.0,Fem,False,5.0,Australia,297.0
3979,39.0,5.0,28.0,Masc,False,5.0,France,272.0
9924,28.0,10.0,22.0,Fem,False,6.0,Taiwan,234.0
8317,26.0,7.0,44.0,Fem,False,4.0,Saudi Arabia,139.0
4393,52.0,2.0,42.0,Fem,False,5.0,Italy,294.0
1287,23.0,7.0,44.0,Masc,False,9.0,Nigeria,76.0
4355,35.0,6.0,22.0,Fem,False,2.0,Italy,105.0
7013,29.0,9.0,57.0,Fem,False,10.0,Canada,318.0
3885,32.0,9.0,22.0,Fem,True,10.0,France,275.0
5749,42.0,5.0,22.0,Fem,False,4.0,Tanzania,106.0
9169,31.0,5.0,22.0,Fem,False,6.0,Yemen,45.0
2407,49.0,6.0,15.5,Fem,True,2.0,Vietnam,36.0
2013,54.0,8.0,28.0,Fem,False,1.0,Mexico,55.0
5153,29.0,3.0,44.0,Masc,False,6.0,Colombia,164.0
8551,34.0,8.0,22.0,Fem,False,8.0,Venezuela,100.0
4376,34.0,9.0,44.0,Fem,True,1.0,Italy,98.0
8822,48.0,6.0,28.0,Masc,False,3.0,Afghanistan,173.0
4273,49.0,2.0,42.0,Fem,False,5.0,Italy,192.0
5825,43.0,6.0,28.0,Fem,False,4.0,Kenya,51.0
6699,49.0,6.0,15.5,Fem,True,6.0,Sudan,58.0
7243,43.0,5.0,28.0,Masc,False,5.0,Iraq,199.0
449,29.0,4.0,15.5,Fem,False,3.0,United States,95.0
2227,40.0,6.0,28.0,Masc,False,3.0,Philippines,84.0
5756,41.0,4.0,22.0,Fem,False,7.0,Tanzania,116.0
810,44.0,6.0,15.5,Fem,True,6.0,Brazil,111.0
4180,30.0,9.0,10.0,Masc,False,5.0,United Kingdom,249.0
9000,43.0,5.0,22.0,Masc,False,5.0,Yemen,62.0
5438,53.0,6.0,10.0,Fem,False,6.0,Ukraine,93.0
7533,48.0,8.0,44.0,Fem,False,2.0,Morocco,49.0
6369,37.0,3.0,42.0,Fem,False,5.0,Algeria,113.0
8416,37.0,6.0,22.0,Fem,False,4.0,Venezuela,140.0
1477,39.0,6.0,22.0,Fem,False,7.0,Bangladesh,61.0
1790,37.0,3.0,44.0,Fem,False,3.0,Russia,64.0
2008,28.0,7.0,44.0,Fem,False,4.0,Mexico,72.0
682,52.0,6.0,44.0,Fem,False,7.0,Indonesia,127.0
2816,47.0,5.0,15.5,Masc,False,5.0,Egypt,60.0
9431,40.0,9.0,22.0,Masc,False,3.0,Mozambique,107.0
3774,37.0,5.0,44.0,Fem,False,7.0,Thailand,54.0
6495,43.0,10.0,10.0,Fem,False,4.0,Poland,95.0
8878,34.0,3.0,22.0,Masc,False,6.0,Afghanistan,213.0
7361,28.0,6.0,15.5,Fem,False,3.0,Iraq,42.0
8366,41.0,6.0,28.0,Fem,True,4.0,Saudi Arabia,316.0
7474,40.0,5.0,15.5,Fem,False,8.0,Morocco,75.0
46,28.0,6.0,10.0,Masc,False,2.0,China,49.0
30,21.0,3.0,22.0,Fem,False,6.0,China,69.0
8250,35.0,5.0,15.5,Masc,False,5.0,Saudi Arabia,150.0
6935,45.0,6.0,28.0,Fem,False,5.0,Uganda,280.0
1468,38.0,4.0,10.0,Fem,True,1.0,Bangladesh,15.0
1665,43.0,5.0,15.5,Masc,True,6.0,Russia,154.0
1416,43.0,6.0,42.0,Masc,False,4.0,Bangladesh,42.0
6480,44.0,6.0,44.0,Fem,False,6.0,Poland,130.0
4852,35.0,10.0,10.0,Fem,False,3.0,South Korea,66.0
2470,22.0,9.0,22.0,Fem,False,5.0,Vietnam,80.0
4373,29.0,3.0,10.0,Fem,True,4.0,Italy,162.0
8524,37.0,7.0,28.0,Fem,False,3.0,Venezuela,45.0
429,52.0,5.0,10.0,Fem,False,2.0,United States,98.0
5244,45.0,7.0,22.0,Masc,False,4.0,Spain,180.0
2119,46.0,6.0,28.0,Fem,False,10.0,Mexico,121.0
385,18.0,9.0,28.0,Fem,False,6.0,India,181.0
1945,27.0,6.0,22.0,Masc,True,3.0,Japan,134.0
4224,35.0,10.0,44.0,Masc,False,4.0,Italy,170.0
473,51.0,5.0,44.0,Masc,False,3.0,United States,124.0
2129,43.0,3.0,28.0,Masc,True,4.0,Mexico,193.0
6556,46.0,7.0,15.5,Masc,False,2.0,Poland,46.0
6998,42.0,6.0,15.5,Fem,False,3.0,Uganda,39.0
1055,39.0,8.0,22.0,Fem,True,6.0,Pakistan,85.0
3274,40.0,7.0,22.0,Masc,True,5.0,Iran,143.0
4961,40.0,5.0,28.0,Fem,False,8.0,South Korea,186.0
5363,48.0,6.0,28.0,Fem,False,6.0,Spain,280.0
5816,48.0,5.0,15.5,Fem,False,5.0,Kenya,70.0
811,38.0,6.0,42.0,Masc,False,6.0,Brazil,165.0
4573,48.0,9.0,15.5,Masc,False,4.0,Burma,77.0
6137,51.0,9.0,22.0,Masc,False,7.0,Argentina,186.0
2388,45.0,8.0,44.0,Fem,False,4.0,Philippines,80.0
9648,32.0,5.0,57.0,Fem,False,5.0,Australia,212.0
6225,39.0,7.0,22.0,Masc,False,10.0,Algeria,114.0
111,35.0,8.0,28.0,Masc,False,3.0,China,102.0
8909,40.0,6.0,28.0,Fem,True,4.0,Afghanistan,87.0
1745,39.0,5.0,42.0,Fem,True,6.0,Russia,235.0
7851,38.0,5.0,28.0,Fem,True,4.0,Uzbekistan,237.0
1452,36.0,2.0,44.0,Fem,True,3.0,Bangladesh,55.0
319,30.0,6.0,57.0,Fem,False,3.0,India,18.0
8593,22.0,3.0,28.0,Masc,False,1.0,Venezuela,127.0
3333,31.0,4.0,22.0,Fem,False,3.0,Iran,66.0
1922,31.0,9.0,22.0,Fem,True,3.0,Japan,80.0
5865,42.0,6.0,22.0,Fem,False,4.0,Kenya,79.0
9528,45.0,4.0,44.0,Masc,False,3.0,Mozambique,141.0
3685,36.0,10.0,44.0,Fem,False,4.0,Thailand,157.0
4275,38.0,6.0,22.0,Fem,False,2.0,Italy,63.0
4889,23.0,6.0,15.5,Masc,True,1.0,South Korea,55.0
5225,30.0,4.0,22.0,Fem,True,1.0,Spain,94.0
7472,30.0,7.0,15.5,Fem,False,3.0,Morocco,30.0
3605,40.0,10.0,22.0,Fem,False,4.0,Thailand,74.0
1052,46.0,7.0,44.0,Masc,False,1.0,Pakistan,7.0
4156,37.0,6.0,10.0,Masc,True,6.0,United Kingdom,260.0
9676,39.0,3.0,28.0,Fem,False,3.0,Australia,159.0
99,30.0,6.0,28.0,Fem,False,3.0,China,24.0
7508,35.0,4.0,15.5,Fem,False,4.0,Morocco,99.0
1456,34.0,6.0,44.0,Fem,False,4.0,Bangladesh,92.0
7688,31.0,6.0,42.0,Masc,False,1.0,Peru,53.0
4004,38.0,8.0,15.5,Fem,False,5.0,United Kingdom,171.0
6866,38.0,4.0,44.0,Masc,False,4.0,Uganda,159.0
4509,44.0,6.0,44.0,Fem,True,5.0,Burma,115.0
3299,54.0,2.0,44.0,Masc,False,4.0,Iran,146.0
3799,49.0,4.0,10.0,Fem,False,5.0,Thailand,50.0
4281,41.0,2.0,42.0,Fem,False,2.0,Italy,140.0
9051,38.0,7.0,57.0,Masc,False,3.0,Yemen,37.0
6462,42.0,4.0,28.0,Fem,False,0.0,Poland,113.0
7912,40.0,6.0,15.5,Fem,True,4.0,Uzbekistan,62.0
1414,24.0,5.0,44.0,Fem,True,10.0,Bangladesh,115.0
540,28.0,5.0,15.5,Fem,True,4.0,United States,133.0
5815,41.0,4.0,22.0,Fem,True,5.0,Kenya,37.0
8199,20.0,4.0,28.0,Fem,False,9.0,Malaysia,130.0
3680,43.0,7.0,22.0,Fem,True,4.0,Thailand,93.0
754,36.0,5.0,42.0,Fem,True,7.0,Indonesia,99.0
4196,50.0,6.0,44.0,Fem,True,6.0,United Kingdom,234.0
2650,25.0,5.0,28.0,Fem,False,4.0,Ethiopia,276.0
4522,41.0,3.0,42.0,Fem,True,4.0,Burma,240.0
9519,40.0,6.0,44.0,Fem,True,6.0,Mozambique,97.0
3118,32.0,2.0,28.0,Fem,False,10.0,Germany,270.0
3728,28.0,7.0,15.5,Fem,True,5.0,Thailand,116.0
3886,21.0,6.0,28.0,Fem,False,7.0,France,282.0
7107,40.0,6.0,22.0,Masc,False,4.0,Canada,125.0
8068,37.0,5.0,10.0,Fem,False,5.0,Malaysia,107.0
7325,45.0,5.0,44.0,Fem,False,3.0,Iraq,79.0
8483,27.0,3.0,15.5,Fem,False,4.0,Venezuela,98.0
8767,36.0,6.0,15.5,Masc,True,4.0,Nepal,113.0
6500,37.0,6.0,22.0,Fem,False,3.0,Poland,68.0
8426,42.0,5.0,44.0,Fem,True,6.0,Venezuela,153.0
7963,31.0,5.0,28.0,Fem,False,4.0,Uzbekistan,178.0
601,33.0,6.0,15.5,Fem,False,1.0,Indonesia,34.0
9249,39.0,7.0,22.0,Masc,False,1.0,Ghana,22.0
8919,36.0,8.0,22.0,Fem,True,0.0,Afghanistan,78.0
6814,26.0,9.0,15.5,Masc,True,3.0,Uganda,47.0
5411,34.0,4.0,10.0,Masc,False,7.0,Ukraine,77.0
8747,39.0,5.0,22.0,Masc,False,2.0,Nepal,65.0
5522,35.0,5.0,28.0,Masc,False,7.0,Ukraine,89.0
1044,50.0,3.0,22.0,Fem,False,3.0,Pakistan,40.0
7334,26.0,4.0,22.0,Fem,False,4.0,Iraq,146.0
1557,39.0,6.0,44.0,Fem,False,7.0,Bangladesh,94.0
3739,35.0,9.0,10.0,Fem,False,7.0,Thailand,89.0
3522,31.0,6.0,42.0,Masc,True,10.0,Turkey,183.0
180,39.0,8.0,28.0,Fem,False,7.0,China,158.0
2115,38.0,5.0,28.0,Fem,False,1.0,Mexico,81.0
1699,33.0,7.0,22.0,Masc,True,10.0,Russia,270.0
1379,30.0,4.0,28.0,Fem,False,10.0,Nigeria,170.0
7229,39.0,9.0,44.0,Masc,False,5.0,Iraq,75.0
9143,34.0,6.0,22.0,Fem,False,7.0,Yemen,40.0
618,39.0,4.0,10.0,Fem,True,9.0,Indonesia,48.0
3181,43.0,4.0,15.5,Fem,True,4.0,Germany,258.0
9851,28.0,6.0,28.0,Masc,False,7.0,Taiwan,204.0
1600,42.0,7.0,22.0,Masc,False,3.0,Russia,55.0
5963,29.0,5.0,28.0,Fem,True,4.0,Kenya,178.0
1615,36.0,6.0,22.0,Fem,False,10.0,Russia,194.0
5920,33.0,4.0,57.0,Fem,False,4.0,Kenya,144.0
9591,45.0,9.0,28.0,Masc,False,3.0,Mozambique,94.0
3891,31.0,10.0,10.0,Fem,False,5.0,France,161.0
2083,26.0,4.0,44.0,Fem,False,5.0,Mexico,98.0
4574,45.0,7.0,10.0,Masc,True,5.0,Burma,128.0
5594,37.0,7.0,28.0,Masc,True,4.0,Ukraine,102.0
5121,40.0,6.0,28.0,Masc,True,2.0,Colombia,97.0
4587,43.0,3.0,22.0,Fem,False,5.0,Burma,66.0
4902,36.0,4.0,10.0,Fem,False,3.0,South Korea,67.0
8252,35.0,7.0,15.5,Fem,False,4.0,Saudi Arabia,147.0
5916,49.0,3.0,57.0,Masc,False,6.0,Kenya,118.0
5129,26.0,9.0,10.0,Masc,False,5.0,Colombia,82.0
8334,39.0,3.0,22.0,Masc,True,4.0,Saudi Arabia,235.0
1918,37.0,6.0,57.0,Masc,False,4.0,Japan,180.0
8330,43.0,5.0,22.0,Fem,False,5.0,Saudi Arabia,255.0
5707,37.0,8.0,57.0,Fem,False,7.0,Tanzania,148.0
5384,28.0,5.0,44.0,Fem,False,6.0,Spain,216.0
6336,27.0,4.0,42.0,Fem,False,7.0,Algeria,105.0
2054,44.0,7.0,28.0,Fem,False,4.0,Mexico,87.0
7612,38.0,5.0,15.5,Fem,True,5.0,Peru,93.0
9209,44.0,7.0,44.0,Masc,False,1.0,Ghana,47.0
3963,47.0,5.0,22.0,Fem,False,3.0,France,82.0
1126,42.0,3.0,44.0,Masc,False,5.0,Pakistan,57.0
3428,40.0,7.0,15.5,Fem,False,4.0,Turkey,59.0
4601,50.0,5.0,42.0,Fem,False,2.0,South Africa,37.0
3721,37.0,7.0,44.0,Masc,False,3.0,Thailand,45.0
2389,25.0,5.0,22.0,Fem,False,3.0,Philippines,23.0
1322,23.0,9.0,22.0,Fem,False,3.0,Nigeria,27.0
1603,29.0,9.0,44.0,Fem,False,3.0,Russia,79.0
7224,44.0,7.0,15.5,Fem,False,2.0,Iraq,31.0
7425,43.0,6.0,15.5,Fem,False,6.0,Morocco,61.0
4336,42.0,9.0,44.0,Masc,True,1.0,Italy,91.0
5593,30.0,5.0,44.0,Fem,True,8.0,Ukraine,77.0
4411,21.0,5.0,44.0,Fem,False,0.0,Burma,46.0
5858,23.0,5.0,22.0,Masc,True,5.0,Kenya,74.0
9343,44.0,7.0,22.0,Fem,False,1.0,Ghana,21.0
3991,39.0,5.0,44.0,Fem,True,5.0,France,197.0
6079,37.0,7.0,57.0,Fem,False,6.0,Argentina,224.0
1559,32.0,7.0,44.0,Fem,False,3.0,Bangladesh,13.0
4682,34.0,3.0,28.0,Fem,False,5.0,South Africa,87.0
7557,41.0,8.0,28.0,Fem,False,4.0,Morocco,85.0
3772,46.0,5.0,44.0,Fem,True,6.0,Thailand,51.0
8779,37.0,7.0,44.0,Fem,False,3.0,Nepal,61.0
3457,37.0,3.0,44.0,Fem,False,5.0,Turkey,202.0
8383,21.0,5.0,10.0,Fem,False,1.0,Saudi Arabia,73.0
1354,29.0,3.0,15.5,Fem,False,3.0,Nigeria,14.0
45,37.0,8.0,28.0,Fem,False,5.0,China,54.0
9872,31.0,6.0,44.0,Fem,True,6.0,Taiwan,172.0
748,46.0,7.0,10.0,Masc,False,0.0,Indonesia,19.0
7917,43.0,6.0,28.0,Fem,False,7.0,Uzbekistan,206.0
4241,30.0,2.0,10.0,Fem,False,2.0,Italy,66.0
5628,37.0,3.0,28.0,Fem,False,4.0,Tanzania,143.0
4657,38.0,8.0,10.0,Fem,False,4.0,South Africa,29.0
4238,37.0,6.0,44.0,Masc,False,7.0,Italy,260.0
3460,38.0,6.0,22.0,Fem,False,5.0,Turkey,55.0
7381,36.0,6.0,28.0,Masc,False,1.0,Iraq,137.0
5549,50.0,5.0,42.0,Fem,False,3.0,Ukraine,45.0
7075,28.0,5.0,28.0,Masc,False,4.0,Canada,265.0
5838,38.0,8.0,42.0,Fem,False,5.0,Kenya,67.0
8091,40.0,7.0,22.0,Fem,True,1.0,Malaysia,54.0
5474,44.0,7.0,28.0,Masc,True,4.0,Ukraine,99.0
3614,43.0,5.0,28.0,Fem,False,7.0,Thailand,262.0
7501,47.0,6.0,42.0,Fem,True,7.0,Morocco,137.0
7053,33.0,9.0,42.0,Fem,False,10.0,Canada,122.0
7367,31.0,6.0,28.0,Masc,False,6.0,Iraq,97.0
8019,36.0,6.0,28.0,Fem,False,4.0,Malaysia,254.0
9638,38.0,7.0,10.0,Fem,True,0.0,Australia,83.0
9055,35.0,4.0,44.0,Fem,False,0.0,Yemen,30.0
664,41.0,3.0,57.0,Fem,True,10.0,Indonesia,122.0
2319,33.0,9.0,15.5,Fem,False,2.0,Philippines,42.0
3542,32.0,10.0,22.0,Masc,True,4.0,Turkey,113.0
3677,37.0,5.0,22.0,Fem,False,6.0,Thailand,87.0
9599,42.0,6.0,10.0,Masc,True,6.0,Mozambique,279.0
3091,42.0,4.0,22.0,Fem,True,4.0,Germany,239.0
675,41.0,6.0,44.0,Fem,False,7.0,Indonesia,175.0
8676,44.0,5.0,22.0,Fem,True,6.0,Nepal,178.0
4884,38.0,5.0,28.0,Fem,False,1.0,South Korea,112.0
8079,39.0,4.0,28.0,Fem,False,9.0,Malaysia,296.0
1962,23.0,9.0,22.0,Fem,True,3.0,Japan,48.0
1840,36.0,8.0,57.0,Fem,False,6.0,Japan,264.0
7168,39.0,6.0,57.0,Fem,False,6.0,Canada,253.0
9898,28.0,5.0,15.5,Masc,True,4.0,Taiwan,260.0
3538,42.0,3.0,10.0,Fem,False,7.0,Turkey,164.0
8026,28.0,6.0,42.0,Fem,True,5.0,Malaysia,59.0
4866,45.0,5.0,42.0,Fem,True,5.0,South Korea,183.0
4174,47.0,6.0,15.5,Masc,True,3.0,United Kingdom,141.0
8088,31.0,5.0,57.0,Fem,False,0.0,Malaysia,71.0
4377,50.0,6.0,22.0,Masc,False,7.0,Italy,251.0
6211,27.0,10.0,15.5,Fem,False,7.0,Algeria,69.0
4766,20.0,5.0,44.0,Fem,False,9.0,South Africa,125.0
411,41.0,7.0,57.0,Fem,False,4.0,United States,236.0
613,42.0,7.0,44.0,Fem,False,2.0,Indonesia,41.0
6126,41.0,5.0,22.0,Fem,False,8.0,Argentina,179.0
5210,48.0,4.0,28.0,Masc,False,3.0,Spain,79.0
1430,50.0,6.0,57.0,Fem,False,2.0,Bangladesh,54.0
2425,47.0,7.0,44.0,Fem,False,2.0,Vietnam,33.0
8841,44.0,6.0,22.0,Fem,False,6.0,Afghanistan,138.0
3833,42.0,5.0,15.5,Masc,False,1.0,France,84.0
4718,34.0,5.0,28.0,Fem,False,5.0,South Africa,148.0
7185,46.0,6.0,42.0,Masc,True,10.0,Canada,97.0
1417,33.0,7.0,22.0,Fem,False,4.0,Bangladesh,95.0
7199,43.0,7.0,44.0,Masc,False,3.0,Canada,144.0
604,28.0,3.0,57.0,Fem,False,6.0,Indonesia,82.0
1272,28.0,6.0,15.5,Fem,False,4.0,Nigeria,59.0
3964,22.0,6.0,44.0,Fem,False,10.0,France,241.0
6367,27.0,8.0,44.0,Masc,False,0.0,Algeria,51.0
8746,39.0,9.0,10.0,Fem,False,6.0,Nepal,132.0
247,33.0,5.0,28.0,Fem,False,4.0,India,184.0
9226,47.0,2.0,42.0,Fem,True,7.0,Ghana,107.0
1982,48.0,5.0,22.0,Fem,False,6.0,Japan,172.0
2835,37.0,8.0,22.0,Fem,True,9.0,Egypt,68.0
5375,40.0,3.0,28.0,Fem,True,4.0,Spain,97.0
199,29.0,7.0,42.0,Masc,False,1.0,China,85.0
485,41.0,9.0,57.0,Masc,False,5.0,United States,317.0
6083,51.0,6.0,42.0,Fem,False,4.0,Argentina,250.0
8956,32.0,5.0,15.5,Fem,True,3.0,Afghanistan,191.0
455,36.0,9.0,22.0,Masc,False,4.0,United States,234.0
9798,27.0,7.0,44.0,Fem,True,0.0,Australia,134.0
8826,24.0,4.0,57.0,Masc,False,4.0,Afghanistan,97.0
6515,26.0,5.0,22.0,Fem,True,7.0,Poland,177.0
1721,32.0,5.0,42.0,Fem,False,5.0,Russia,141.0
7050,27.0,3.0,28.0,Masc,True,4.0,Canada,119.0
6382,49.0,8.0,15.5,Fem,False,5.0,Algeria,95.0
8165,28.0,5.0,28.0,Fem,False,10.0,Malaysia,175.0
5767,42.0,6.0,57.0,Fem,True,7.0,Tanzania,175.0
5809,57.0,5.0,28.0,Fem,False,5.0,Kenya,306.0
4626,31.0,6.0,42.0,Fem,True,4.0,South Africa,74.0
862,42.0,6.0,28.0,Masc,False,6.0,Brazil,149.0
2094,33.0,7.0,28.0,Fem,False,4.0,Mexico,224.0
947,26.0,8.0,22.0,Fem,True,2.0,Brazil,49.0
5641,33.0,3.0,44.0,Fem,False,4.0,Tanzania,161.0
1444,37.0,5.0,28.0,Fem,False,8.0,Bangladesh,216.0
1280,34.0,6.0,28.0,Fem,True,9.0,Nigeria,134.0
3110,37.0,9.0,44.0,Masc,True,10.0,Germany,307.0
8952,33.0,2.0,44.0,Fem,False,10.0,Afghanistan,295.0
7609,45.0,5.0,22.0,Fem,False,3.0,Peru,28.0
5135,50.0,6.0,22.0,Masc,False,6.0,Colombia,166.0
3016,40.0,4.0,22.0,Fem,True,3.0,Germany,103.0
2302,43.0,6.0,22.0,Masc,False,6.0,Philippines,52.0
2004,36.0,10.0,28.0,Fem,False,5.0,Mexico,112.0
4580,24.0,5.0,57.0,Fem,False,8.0,Burma,194.0
8704,27.0,9.0,22.0,Fem,True,5.0,Nepal,146.0
1005,39.0,8.0,57.0,Masc,False,1.0,Pakistan,48.0
5138,46.0,5.0,44.0,Masc,False,7.0,Colombia,91.0
4317,36.0,3.0,22.0,Masc,False,2.0,Italy,82.0
6558,31.0,6.0,57.0,Masc,False,9.0,Poland,186.0
4387,27.0,5.0,28.0,Fem,True,7.0,Italy,97.0
2132,57.0,6.0,22.0,Fem,False,4.0,Mexico,119.0
4265,40.0,7.0,28.0,Fem,True,2.0,Italy,121.0
2057,26.0,8.0,22.0,Fem,False,3.0,Mexico,70.0
5386,37.0,4.0,28.0,Fem,False,2.0,Spain,131.0
229,47.0,3.0,28.0,Fem,False,10.0,India,137.0
2889,47.0,7.0,10.0,Fem,False,5.0,Egypt,93.0
4472,43.0,3.0,22.0,Masc,False,3.0,Burma,55.0
6064,34.0,9.0,15.5,Masc,False,9.0,Argentina,137.0
7924,30.0,5.0,28.0,Fem,False,8.0,Uzbekistan,70.0
7649,36.0,5.0,42.0,Fem,False,3.0,Peru,47.0
8381,31.0,5.0,22.0,Masc,False,7.0,Saudi Arabia,236.0
209,26.0,6.0,44.0,Masc,False,4.0,India,147.0
2758,58.0,6.0,57.0,Fem,False,7.0,Ethiopia,309.0
8471,31.0,8.0,22.0,Fem,False,8.0,Venezuela,121.0
2948,33.0,6.0,42.0,Masc,False,0.0,Egypt,43.0
7116,43.0,8.0,10.0,Fem,False,3.0,Canada,85.0
6330,54.0,10.0,10.0,Fem,False,2.0,Algeria,40.0
1728,45.0,3.0,28.0,Masc,False,9.0,Russia,172.0
4176,40.0,6.0,28.0,Fem,False,7.0,United Kingdom,87.0
337,19.0,2.0,28.0,Fem,False,10.0,India,147.0
4984,36.0,5.0,15.5,Fem,True,2.0,South Korea,106.0
6878,33.0,6.0,15.5,Fem,False,3.0,Uganda,55.0
7248,43.0,5.0,22.0,Masc,False,0.0,Iraq,41.0
8452,52.0,9.0,15.5,Fem,False,3.0,Venezuela,25.0
1226,30.0,6.0,44.0,Fem,False,7.0,Nigeria,54.0
7608,49.0,6.0,10.0,Fem,False,1.0,Peru,27.0
6827,34.0,5.0,15.5,Fem,False,3.0,Uganda,82.0
3540,29.0,6.0,15.5,Masc,False,5.0,Turkey,130.0
5868,38.0,5.0,15.5,Fem,False,3.0,Kenya,23.0
2111,42.0,6.0,44.0,Fem,False,4.0,Mexico,149.0
2691,35.0,5.0,28.0,Fem,False,2.0,Ethiopia,163.0
7153,32.0,10.0,10.0,Fem,True,0.0,Canada,71.0
3707,26.0,9.0,44.0,Fem,False,5.0,Thailand,103.0
1017,38.0,5.0,10.0,Masc,True,2.0,Pakistan,10.0
8511,39.0,8.0,28.0,Masc,False,8.0,Venezuela,157.0
2807,52.0,3.0,22.0,Masc,False,3.0,Egypt,35.0
5015,35.0,6.0,22.0,Masc,False,6.0,Colombia,70.0
1928,36.0,3.0,44.0,Fem,False,4.0,Japan,164.0
350,34.0,7.0,15.5,Fem,False,2.0,India,26.0
5173,32.0,7.0,42.0,Fem,False,3.0,Colombia,24.0
4192,43.0,2.0,22.0,Fem,False,7.0,United Kingdom,172.0
1934,45.0,5.0,42.0,Fem,True,6.0,Japan,211.0
6901,44.0,4.0,10.0,Masc,False,3.0,Uganda,58.0
4823,31.0,6.0,44.0,Fem,True,4.0,South Korea,172.0
564,24.0,5.0,15.5,Fem,False,5.0,United States,234.0
1582,24.0,4.0,28.0,Fem,False,2.0,Bangladesh,20.0
4694,25.0,6.0,10.0,Fem,False,6.0,South Africa,118.0
2175,31.0,3.0,28.0,Fem,False,5.0,Mexico,221.0
7028,38.0,6.0,28.0,Masc,False,3.0,Canada,91.0
4880,29.0,6.0,28.0,Fem,False,2.0,South Korea,184.0
2228,25.0,8.0,28.0,Fem,False,4.0,Philippines,41.0
1115,18.0,4.0,22.0,Fem,False,4.0,Pakistan,64.0
3126,41.0,9.0,28.0,Fem,True,5.0,Germany,235.0
3544,23.0,3.0,22.0,Fem,False,1.0,Turkey,65.0
5048,40.0,6.0,10.0,Masc,False,4.0,Colombia,116.0
7476,43.0,2.0,44.0,Fem,False,6.0,Morocco,135.0
821,20.0,4.0,28.0,Masc,False,6.0,Brazil,179.0
6532,36.0,5.0,42.0,Masc,True,5.0,Poland,174.0
2272,35.0,7.0,42.0,Masc,False,5.0,Philippines,103.0
5545,50.0,5.0,15.5,Fem,False,6.0,Ukraine,69.0
81,25.0,4.0,15.5,Masc,True,2.0,China,66.0
1323,39.0,5.0,22.0,Fem,True,7.0,Nigeria,51.0
9405,23.0,6.0,42.0,Masc,False,5.0,Mozambique,200.0
1614,34.0,4.0,44.0,Masc,False,4.0,Russia,53.0
831,26.0,6.0,44.0,Fem,False,0.0,Brazil,59.0
3883,22.0,5.0,57.0,Fem,False,3.0,France,63.0
8641,43.0,6.0,28.0,Masc,False,3.0,Nepal,77.0
4464,30.0,6.0,28.0,Fem,False,7.0,Burma,97.0
5339,32.0,4.0,44.0,Fem,False,3.0,Spain,66.0
8066,36.0,6.0,44.0,Masc,True,5.0,Malaysia,180.0
1649,37.0,5.0,15.5,Fem,True,9.0,Russia,86.0
4065,51.0,3.0,28.0,Fem,False,5.0,United Kingdom,287.0
9665,44.0,7.0,28.0,Fem,False,4.0,Australia,97.0
